# chances_legacy.DECam_z
# energy
# DECam/Legacy Survey z-band total system throughput (hostphot DECAM curve, airmass 1.4); pivot 9126A
3000.00 0.000000e+00
3010.00 0.000000e+00
3020.00 0.000000e+00
3030.00 0.000000e+00
3040.00 0.000000e+00
3050.00 0.000000e+00
3060.00 0.000000e+00
3070.00 0.000000e+00
3080.00 0.000000e+00
3090.00 0.000000e+00
3100.00 0.000000e+00
3110.00 0.000000e+00
3120.00 0.000000e+00
3130.00 0.000000e+00
3140.00 0.000000e+00
3150.00 0.000000e+00
3160.00 0.000000e+00
3170.00 0.000000e+00
3180.00 0.000000e+00
3190.00 0.000000e+00
3200.00 0.000000e+00
3210.00 0.000000e+00
3220.00 0.000000e+00
3230.00 0.000000e+00
3240.00 0.000000e+00
3250.00 0.000000e+00
3260.00 0.000000e+00
3270.00 0.000000e+00
3280.00 0.000000e+00
3290.00 0.000000e+00
3300.00 0.000000e+00
3310.00 0.000000e+00
3320.00 0.000000e+00
3330.00 0.000000e+00
3340.00 6.501050e-04
3350.00 7.165710e-04
3360.00 7.633820e-04
3370.00 7.906120e-04
3380.00 8.377210e-04
3390.00 8.943520e-04
3400.00 9.218090e-04
3410.00 9.784060e-04
3420.00 1.025670e-03
3430.00 9.521530e-04
3440.00 8.691400e-04
3450.00 7.961800e-04
3460.00 7.227190e-04
3470.00 6.397250e-04
3480.00 5.566240e-04
3490.00 4.735150e-04
3500.00 3.901890e-04
3510.00 2.974650e-04
3520.00 2.138880e-04
3530.00 2.047090e-04
3540.00 1.955190e-04
3550.00 1.863170e-04
3560.00 1.864240e-04
3570.00 1.771710e-04
3580.00 1.679420e-04
3590.00 1.586720e-04
3600.00 1.587610e-04
3610.00 1.495060e-04
3620.00 1.589380e-04
3630.00 1.683800e-04
3640.00 1.778320e-04
3650.00 1.872940e-04
3660.00 1.967640e-04
3670.00 2.062080e-04
3680.00 2.156960e-04
3690.00 2.251940e-04
3700.00 2.346590e-04
3710.00 2.441730e-04
3720.00 2.630470e-04
3730.00 2.819820e-04
3740.00 2.914820e-04
3750.00 3.103930e-04
3760.00 3.293730e-04
3770.00 3.483120e-04
3780.00 3.672630e-04
3790.00 3.768060e-04
3800.00 3.957790e-04
3810.00 4.148320e-04
3820.00 3.867390e-04
3830.00 3.585590e-04
3840.00 3.304130e-04
3850.00 3.021900e-04
3860.00 2.739480e-04
3870.00 2.456880e-04
3880.00 2.174440e-04
3890.00 1.891420e-04
3900.00 1.608210e-04
3910.00 1.230200e-04
3920.00 1.703890e-04
3930.00 2.083180e-04
3940.00 2.462710e-04
3950.00 2.937220e-04
3960.00 3.317250e-04
3970.00 3.792310e-04
3980.00 4.172820e-04
3990.00 4.648430e-04
4000.00 4.270270e-04
4010.00 3.891870e-04
4020.00 3.608190e-04
4030.00 3.229350e-04
4040.00 2.850280e-04
4050.00 2.470980e-04
4060.00 2.091450e-04
4070.00 1.806790e-04
4080.00 1.426830e-04
4090.00 1.046500e-04
4100.00 6.661500e-05
4110.00 6.663450e-05
4120.00 7.617580e-05
4130.00 8.572270e-05
4140.00 8.573510e-05
4150.00 9.528870e-05
4160.00 1.048480e-04
4170.00 1.048630e-04
4180.00 1.144280e-04
4190.00 1.240000e-04
4200.00 1.335570e-04
4210.00 1.335950e-04
4220.00 1.336320e-04
4230.00 1.336510e-04
4240.00 1.432380e-04
4250.00 1.432580e-04
4260.00 1.432980e-04
4270.00 1.433180e-04
4280.00 1.433580e-04
4290.00 1.433780e-04
4300.00 1.434170e-04
4310.00 1.434370e-04
4320.00 1.434760e-04
4330.00 1.339300e-04
4340.00 1.339660e-04
4350.00 1.339850e-04
4360.00 1.340030e-04
4370.00 1.340390e-04
4380.00 1.340570e-04
4390.00 1.340930e-04
4400.00 1.245320e-04
4410.00 1.628720e-04
4420.00 1.916390e-04
4430.00 2.204440e-04
4440.00 2.588170e-04
4450.00 2.876130e-04
4460.00 3.164160e-04
4470.00 3.548640e-04
4480.00 3.836870e-04
4490.00 4.125180e-04
4500.00 4.510110e-04
4510.00 4.414730e-04
4520.00 4.319320e-04
4530.00 4.223890e-04
4540.00 4.032950e-04
4550.00 3.937440e-04
4560.00 3.841900e-04
4570.00 3.746340e-04
4580.00 3.650750e-04
4590.00 3.555140e-04
4600.00 3.651700e-04
4610.00 3.748280e-04
4620.00 3.844880e-04
4630.00 3.941510e-04
4640.00 4.038160e-04
4650.00 4.134840e-04
4660.00 4.231540e-04
4670.00 4.328820e-04
4680.00 4.425580e-04
